state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl,year
Kansas,41.6,55.5,21.1,13,,306,54.8,92.3,2020
Colorado,41.6,51.3,33.1,66,,714,54.5,95.5,2020
Arkansas,43.8,60.7,26.1,21,,335,93.2,95.2,2020
Massachusetts,44.9,58.3,35.2,126,,2121,94.0,95.2,2020
Delaware,46.3,56.5,41.7,13,,958,9.4,92.3,2020
Wyoming,46.6,57.8,29.5,10,,154,81.5,80.0,2020
Illinois,47.1,63.5,35.9,64,,803,68.4,98.4,2020
Vermont,47.9,73.5,31.0,24,,263,97.7,95.8,2020
New Hampshire,47.9,63.6,32.7,35,,204,94.5,94.3,2020
Connecticut,49.8,65.6,37.7,51,,448,97.6,96.1,2020
Michigan,51.2,75.4,28.0,160,,8978,22.3,96.9,2020
Utah,51.8,69.2,44.6,63,,4821,17.6,93.7,2020
Iowa,58.5,66.9,49.6,44,,512,95.6,95.5,2020
