state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl
South Carolina,12.8,21.8,10.8,41,,5311,13.8,85.4
Indiana,14.1,40.0,8.9,122,,18436,8.1,95.9
New York,15.7,28.4,6.8,134,,7553,18.6,95.5
Florida,18.8,36.9,4.1,37,,18320,27.5,86.5
Wisconsin,20.9,41.5,9.8,121,,23000,9.6,87.6
Alabama,22.5,30.7,16.2,75,,2140,94.9,98.7
Colorado,23.3,47.6,10.6,132,,2981,20.5,95.5
North Carolina,24.5,31.0,18.5,201,,1937,93.7,99.0
North Dakota,25.0,36.9,12.9,19,,125725,0.0,10.5
Oklahoma,25.8,37.5,21.9,72,,5728,10.6,93.1
Nebraska,25.9,65.0,13.1,17,,11696,1.4,76.5
Arkansas,26.5,37.0,18.2,47,,492,96.2,97.9
Maryland,26.6,34.3,21.9,193,,2981,30.4,95.8
Ohio,27.3,32.4,22.4,186,,1711,98.9,98.9
Missouri,27.4,35.3,20.9,91,,638,89.2,92.3
Kentucky,28.5,39.4,19.8,95,,1041,99.5,99.0
Washington,29.1,39.3,11.6,133,,48625,3.2,93.2
Rhode Island,29.5,48.1,13.1,16,,65,100.0,100.0
Massachusetts,29.6,43.2,21.5,100,,1655,99.9,99.0
Oregon,29.6,44.7,13.8,112,,63236,2.2,91.1
Idaho,30.4,59.1,9.0,32,,77250,1.6,65.6
MultiStateOperation,30.4,40.1,22.0,120,,264848,0.0,0.0
District of Columbia,30.7,38.8,14.9,11,,301,13.6,54.5
Michigan,30.7,54.0,12.8,223,,23533,9.4,96.0
California,30.8,40.0,21.8,144,,276535,8.9,56.9
Georgia,30.9,44.7,14.6,90,,8065,12.4,94.4
Vermont,32.5,65.7,10.8,49,,1497,97.7,98.0
Virginia,32.6,36.6,28.6,621,,4426,90.6,98.2
West Virginia,32.6,44.3,22.5,41,,390,100.0,100.0
South Dakota,35.8,51.7,13.7,14,,53017,0.1,50.0
Maine,35.9,45.0,28.1,71,,460,100.0,100.0
Montana,36.5,85.1,4.0,26,,40427,0.2,76.9
Minnesota,36.8,50.6,18.7,108,,27012,2.4,88.9
Connecticut,36.9,52.5,23.5,36,,190,100.0,100.0
New Jersey,37.2,53.0,25.0,66,,749,86.5,92.4
New Hampshire,38.1,51.7,24.3,43,,333,100.0,100.0
Kansas,40.2,54.9,34.1,30,,758,48.4,90.0
Pennsylvania,43.4,49.8,37.2,674,,6300,92.1,98.2
Texas,43.5,69.1,19.2,140,,142475,28.1,83.6
New Mexico,43.7,64.7,28.4,20,,117,98.3,95.0
Tennessee,44.5,53.2,33.1,68,,1164,95.2,95.6
Delaware,45.9,56.9,25.7,15,,126,85.7,93.3
Utah,46.0,69.7,21.4,116,,1643,35.6,97.4
Illinois,54.8,62.9,46.9,108,,951,96.5,96.3
Iowa,61.5,67.5,53.1,83,,857,97.2,96.4
Nevada,64.0,75.7,46.1,15,,119,100.0,100.0
