state,loss,confidence upper,confidence lower,beekeepers,beek exclusive,colonies,colonies exclusive,bexcl
Arkansas,16.9,28.7,5.7,42,,2627,32.3,90.5
Colorado,19.2,46.5,7.0,114,,3285,16.1,96.5
Florida,19.5,35.5,9.7,57,,13794,2.9,73.7
Kansas,19.8,33.9,9.8,29,,2281,22.2,89.7
Missouri,21.5,28.7,17.1,85,,1326,61.8,95.3
Nebraska,21.8,48.1,13.2,14,,12112,0.9,64.3
Washington,21.9,40.0,4.2,134,,52531,2.5,94.8
Wisconsin,22.6,35.7,16.5,156,,18597,9.6,95.5
Oklahoma,23.0,31.4,13.4,32,,364,75.2,93.8
South Dakota,23.8,34.9,16.3,14,,41002,0.2,57.1
MultiStateOperation,24.8,30.6,19.1,117,,147342,0.0,0.0
Idaho,25.0,37.6,17.6,34,,11099,7.6,88.2
California,25.5,32.5,19.6,136,,136403,4.6,66.9
Oregon,25.6,46.0,1.8,122,,19232,64.3,96.7
Indiana,25.7,41.7,16.9,139,,7413,28.5,96.4
North Dakota,25.9,37.2,18.5,13,,65459,0.0,23.1
Nevada,26.6,39.4,16.3,16,,157,72.0,93.8
Michigan,26.8,42.3,19.1,284,,20613,12.9,95.1
South Carolina,27.4,41.5,21.1,64,,1773,34.9,90.6
Texas,27.8,44.0,17.1,101,,35425,4.7,87.1
New York,28.8,36.9,24.0,154,,5947,37.9,94.8
Georgia,32.2,51.4,20.7,150,,6525,22.8,92.0
Kentucky,34.4,43.5,26.4,112,,3167,48.4,95.5
Mississippi,34.7,37.9,25.4,12,,9556,16.1,83.3
Utah,35.7,43.5,28.7,163,,747,87.1,98.8
Maryland,36.3,51.9,27.0,152,,3446,23.9,92.8
Alabama,37.0,54.6,20.0,65,,1892,98.9,95.4
Montana,39.3,57.4,24.8,22,,6880,8.8,90.9
New Jersey,39.6,53.3,26.7,77,,685,95.1,94.8
Iowa,42.3,54.0,32.7,91,,1212,70.0,96.7
North Carolina,42.5,49.7,34.9,258,,2665,90.1,98.8
West Virginia,43.0,56.1,34.7,60,,1580,39.1,90.0
Delaware,43.5,67.5,35.3,26,,719,15.9,92.3
New Mexico,44.3,57.7,33.6,18,,129,95.7,94.4
Maine,45.7,61.4,32.8,78,,593,100.0,100.0
Pennsylvania,46.7,52.3,41.6,607,,5490,90.5,98.0
Louisiana,47.0,65.2,15.0,13,,4866,3.3,84.6
New Hampshire,48.2,57.2,29.8,52,,668,41.5,98.1
Minnesota,51.2,70.3,39.4,101,,9814,40.5,96.0
Rhode Island,51.2,65.9,36.6,19,,82,87.2,89.5
Ohio,51.4,63.6,40.8,211,,2286,95.3,98.6
Vermont,52.4,60.9,41.0,57,,877,52.0,94.7
Illinois,53.5,62.0,44.8,120,,1229,98.1,98.3
Connecticut,55.0,70.8,39.6,49,,560,90.6,98.0
Massachusetts,55.3,68.3,36.1,100,,1710,99.1,97.0
District of Columbia,57.5,81.8,33.3,10,,21,95.2,90.0
Virginia,59.1,64.9,53.3,551,,4479,97.8,98.9
Tennessee,62.9,80.9,42.5,80,,1880,93.8,96.3
